"term","count.2013","pct.2013","count.2017","pct.2017","difference","ratio"
"teach",224,0.00582075202037263,128,0.050294695481336,0.0444739434609633,8.64058377771541
"faculty",21,0.000545695501909934,12,0.00471512770137525,0.00416943219946531,8.64058377771541
"hl",37,0.000961463503365122,21,0.00825147347740668,0.00729000997404156,8.58220145489301
"exponential",32,0.000831536002910376,18,0.00707269155206287,0.00624115554915249,8.5055746561886
"resident",174,0.00452147701582517,97,0.0381139489194499,0.0335924719036247,8.42953503601834
"body",198,0.00514512901800795,110,0.0432220039292731,0.0380768749112651,8.40056756166776
"truck",38,0.000987449003456071,21,0.00825147347740668,0.00726402447395061,8.3563540481853
"reserve",49,0.00127328950445651,27,0.0106090373280943,0.00933574782363779,8.33199149993986
"young",296,0.00769170802692098,163,0.0640471512770138,0.0563554432500928,8.326778792545
"react",148,0.00384585401346049,81,0.0318271119842829,0.0279812579708224,8.2756942600754
"inclusive",99,0.00257256450900398,54,0.0212180746561886,0.0186455101471846,8.24782996963743
"netsuite",24,0.000623652002182782,13,0.00510805500982318,0.0044844030076404,8.19055337262606
"sdl",28,0.000727594002546579,15,0.00589390962671906,0.00516631562417248,8.1005472916082
"profession",30,0.000779565002728477,16,0.00628683693516699,0.00550727193243852,8.06454485920105
"afford",40,0.00103942000363797,21,0.00825147347740668,0.00721205347376871,7.93853634577603
"sensible",23,0.000597666502091833,12,0.00471512770137525,0.00411746119928341,7.88922866660972
"birthday",37,0.000961463503365122,19,0.00746561886051081,0.00650415535714568,7.76484893537939
"multidisciplinary",196,0.00509315801782605,100,0.0392927308447937,0.0341995728269677,7.71480694438876
"royal",55,0.00142920250500221,28,0.0110019646365422,0.00957276213154003,7.69797463832827
"gibraltar",30,0.000779565002728477,15,0.00589390962671906,0.00511434462399058,7.56051080550098
"llp",30,0.000779565002728477,15,0.00589390962671906,0.00511434462399058,7.56051080550098
"angel",34,0.000883507003092275,17,0.00667976424361493,0.00579625724052266,7.56051080550098
"inter",32,0.000831536002910376,16,0.00628683693516699,0.00545530093225662,7.56051080550098
"scientist",105,0.00272847750954967,52,0.0204322200392927,0.0177037425297431,7.48850594068669
"dependable",39,0.00101343450354702,19,0.00746561886051081,0.00645218435696378,7.36665155407788
"trustworthy",35,0.000909492503183224,17,0.00667976424361493,0.00577027174043171,7.3444962110581
"ne",58,0.00150715900527506,28,0.0110019646365422,0.00949480563126718,7.29980353634578
"visionary",42,0.00109139100381987,20,0.00785854616895874,0.00676715516513887,7.20048648142951
"patient",316,0.00821141802873996,150,0.0589390962671906,0.0507276782384506,7.17770013180473
"warm",59,0.00153314450536601,28,0.0110019646365422,0.00946882013117623,7.1760780526789
"settle",38,0.000987449003456071,18,0.00707269155206287,0.0060852425486068,7.16258918415883
"netherlands",32,0.000831536002910376,15,0.00589390962671906,0.00506237362380868,7.08797888015717
"william",32,0.000831536002910376,15,0.00589390962671906,0.00506237362380868,7.08797888015717
"bamboo",30,0.000779565002728477,14,0.00550098231827112,0.00472141731554264,7.05647675180092
"micro",75,0.00194891250682119,35,0.0137524557956778,0.0118035432888566,7.05647675180092
"josh",28,0.000727594002546579,13,0.00510805500982318,0.0043804610072766,7.02047431939377
"kdb",28,0.000727594002546579,13,0.00510805500982318,0.0043804610072766,7.02047431939377
"church",39,0.00101343450354702,18,0.00707269155206287,0.00605925704851585,6.97893305123168
"gpu",37,0.000961463503365122,17,0.00667976424361493,0.00571830074024981,6.94749641586577
"thursday",79,0.00205285450718499,36,0.0141453831041257,0.0120925285969407,6.89059212653254
"evident",25,0.000649637502273731,11,0.00432220039292731,0.00367256289065358,6.65324950884086
"salt",25,0.000649637502273731,11,0.00432220039292731,0.00367256289065358,6.65324950884086
"crane",48,0.00124730400436556,21,0.00825147347740668,0.00700416947304112,6.61544695481336
"cater",102,0.00265052100927682,44,0.0172888015717092,0.0146382805624324,6.52279363611849
"illness",51,0.00132526050463841,22,0.00864440078585462,0.00731914028121621,6.52279363611849
"cd",35,0.000909492503183224,15,0.00589390962671906,0.00498441712353583,6.48043783328656
"behaviour",343,0.00891302653119559,147,0.0577603143418468,0.0488472878106512,6.48043783328656
"evening",42,0.00109139100381987,18,0.00707269155206287,0.005981300548243,6.48043783328656
"extraordinary",31,0.000805550502819427,13,0.00510805500982318,0.00430250450700376,6.34107357880727
"kv",31,0.000805550502819427,13,0.00510805500982318,0.00430250450700376,6.34107357880727
"enablement",41,0.00106540550372892,17,0.00667976424361493,0.00561435873988601,6.26969188748862
"notwithstanding",27,0.00070160850245563,11,0.00432220039292731,0.00362059189047168,6.16041621188969
