"","diff","ratio"
QA,-0.00911924623466786,0.858664537716986
Devops,0.071800101358766,12.2320459373552
Go,0.0453922169189906,1.78333124829306
C,-0.395548882937466,0.556858583345487
Java,-0.118241764906577,0.669285715611614
Python,0.0617149194600101,2.1904637822454
UX,-0.000996546481091057,0.971986779962142
JSON,0.00081002266354235,1.04212446237987
WordPress,-0.00163410506524785,0.891013405154362
SQL,-0.412768856117775,0.443739183009513
Apache,-0.0217248684860567,0.425797998661456
LAMP,-0.0189553451178172,0.303286966409782
AJAX,-0.0494025708900013,0.241357088763
Ruby,-0.0340231266866644,0.351825750354996
Net,-0.682692334690995,0.297275741830804
JavaScript,-0.0812205445549988,0.707093035693935
Android,-0.0230590631017283,0.620614824564424
Swift,-0.00141745032008878,0.768865505644168
php,-0.12251499616063,0.444997693084225
AngularJS,0.0209062486550972,68.0445972495088
Linux,-0.0604526776219969,0.695855616037742
AWS,0.0889101492369223,13.7669002727033
HTML,-0.148750906620825,0.51992778098883
Git,0.0242817191700548,2.25595886938336
API,0.0149434902161529,1.54354473911929
MongoDB,0.002151170570201,1.31239055491715
Jenkins,0.0245874189235805,5.66107213022734
R,-0.0147274787269882,0.809236767468634
Shell,-0.0118778546718279,0.442566486175667
Scala,0.00728123922961007,1.75730791695428
Objective,-0.015236763897533,0.757302820749684
XML,-0.0819105948703806,0.259359628196227
microsoft,0.14714604417729,1.3831013610767
spark,0.00710496666632121,10.4282907662083
azure,0.0695953057015403,12.9032717747217
salesforce,0.0266022090125576,2.08676519047798
jira,0.0134806852432531,2.58163783602473
cloud,0.12311320381459,3.55405144064521
cassandra,0.00277879442288884,1.79212107982245
UI,-0.0131263124528183,0.745777613426368
