term,diff,google.trend.diff.2013.2017,google.trend.diff.2014.2017,google.trend.diff.2015.2017,google.trend.diff.2016.2017
administrator (IT),-0.00222633012122722,-17.960407239819,-2.19230769230769,-5.94230769230769,-16.75
assistant,0.01033445588,7.89253393665157,3.57692307692307,4.90384615384615,1.25
business analyst,-0.00569790617330967,13.4196832579185,5.38461538461537,10.1346153846154,5.32692307692307
data,0.001940435964,16.7952488687783,6.82692307692308,10.7884615384615,14.2692307692308
data analyst,0.002622383317,47.0622171945701,8.61538461538462,21.2307692307692,34.1923076923077
design engineer,-0.00188497617615503,8.93099547511312,6.65384615384616,11.8269230769231,7.40384615384616
developer,0.00365411321,5.75452488687782,2.90384615384615,4.26923076923077,5.88461538461538
devops engineer,0.004639937042,63.9671945701357,5.90384615384615,18.4038461538462,41.8846153846154
electrical design engineer,-0.00542195728394087,-1.0972850678733,7.98076923076924,8.69230769230769,-2.46153846153845
engineer (IT),-0.00291714985286906,10.091628959276,6.78846153846155,10.0576923076923,6.86538461538461
front end developer,0.00668753774,57.1685520361991,12.4615384615385,31.1730769230769,45.5192307692308
javascript developer,0.00251429967,28.3721719457014,8.71153846153846,17.3846153846154,23.9615384615385
mechanical design engineer,-0.004375425902175,17.433257918552,6.76923076923077,17.7884615384615,12.9807692307692
project manager (IT),-0.0011475294410065,7.45022624434388,3.96153846153845,6.73076923076923,3.01923076923076
software developer,0.001975917228,22.9253393665158,9.32692307692308,16.8653846153846,19.8076923076923
software engineer,0.002005005694,27.4671945701357,6.07692307692307,15.1730769230769,21.0961538461538
support,0.00597294505,2.920814479638,1.88461538461537,1.75,3.38461538461537
technician,0.007976608622,-3.68778280542986,-0.25,-0.307692307692307,-0.865384615384613
trainee web developer,0.005434443826,-2.48868778280543,0.403846153846153,-4.90384615384616,-0.711538461538463
web developer,-0.00100592113781859,1.19796380090499,-2.71153846153845,-3.03846153846153,-4.23076923076923
